Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage,data_source,Company Name,Tags,Location,Investors,Website,Founded Year,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
,Semiconductors,Tarari,,,,,,,,,,"$14,000,000","Feb  1, 2006",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Wine And Spirits,Inspirational-Stores,"$1,500,000","Dec  1, 2007",,,,,,"$10,000,000","Oct  5, 2008",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"3D Robotics is the premiere advanced drone, UAV, multicopter, autopilot and autonomous vehicle control company in the world.",-,3D-robotics,,,,,,"$5,000,000","Nov  5, 2012","$30,000,000","Sep 12, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
PunchTab is the world's first instant loyalty platform.,,PunchTab,,,Instant loyalty program,"$850,000","May 31, 2011","$4,400,000","Nov  8, 2011","$6,300,000","Apr 30, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,Kolorific,,,,,,,,,,"$7,000,000","Jan  5, 2007",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"MyEdu has free tools to help students manage college, create class schedules, find entry level jobs and paid internships.",Enterprise Software,MyEdu,"$10,000,000","Oct 24, 2011",,,,"$3,200,000","Jan  1, 2009","$5,500,000","Feb 24, 2010",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Education,Truveris,"$12,800,000","Jun 26, 2014",,,,"$3,800,000","Feb  1, 2011","$10,000,000","Feb 23, 2012",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Hospitality,Etaoshi,,,,,,"$10,000,000","Nov 27, 2013","$20,000,000","Sep 19, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Predictive Analytics,Affinnova,,,,,,,,"$6,000,000","Jul  9, 2003","$4,500,000","Aug 17, 2004",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Nonprofits,Kimbia,"$675,000","Apr 22, 2014",,,,Unknown,"Jan  1, 2008","$4,000,000","Aug  1, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Alcyone-Lifesciences,"$1,000,000","May  9, 2013",,,,"$1,800,000","Mar 28, 2012","$4,000,000","Jan 15, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Internet of Things,NetSocket,"$4,700,000","Sep 27, 2013",,,,,,"$9,200,000","Apr  2, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Big Data Analytics,Mixbook,,,,,,"$800,000","Jan  1, 2008","$10,000,000","Aug  1, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Established in early 2012, Currency Cloud is a FinTech company in the heart of London. Our mission is to power next-generation enterprises with a transparent, fast, easy-to-use and secure payments engine that will transform the way businesses move money around the world.Today, we work with over 125 platform customers and our service has reached more than 100,000 end-customers. We now process in excess of $7bn in payments every year, across more than 40 currencies in 212 countries.The senior executive team combined has over 100 years’ worth of experience in the financial service and technology sectors. They have worked for pioneering companies large… · More (including Microsoft, American Express, Rackspace, IBM) and small (FX Capital Group, Iris Financial, HiFX Venda, and Triaina).Currency Cloud is backed by four leading FinTech investment firms – Atlas, Anthemis Group, Notion Capital and X’Ange – and has raised close to $18m in funding as of January 2014.",Mobile Advertising,Currency-Cloud,"$3,000,000","Jul 12, 2012","Simple, Low Cost, Alternative, International Payments",,,"$4,000,000","Mar 13, 2012","$10,000,000","Apr 15, 2014",,,,,Seed,GitHub_funding,,,,,,,,,,,,,,
,Security,Cenzic,"$1,000,000","May 11, 2011",,,,,,,,"$15,000,000","Jul 11, 2005",,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Gehry-Technologies,"$10,100,000","Oct  6, 2011",,,,,,"$10,500,000","Dec  6, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,MicroBlogging,PrestaShop,,,Free Open-source E-commerce Solution,"$946,800","Mar  1, 2010","$3,750,000","Aug 31, 2011","$9,300,000","Mar  3, 2014",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Software,Silver-Creek-Systems,,,,,,,,,,"$6,000,000","Aug  1, 2005",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,Gainspeed,,,,,,"$23,300,000","Jan 14, 2013","$10,000,000","Jan 22, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
Optovue pushes the frontiers of OCT innovation and ophthalmic medical diagnostic imaging with uncompromising clinical integrity to improve the lives of patients around the world.,Health Care,Optovue,,,,,,,,"$10,500,000","Mar 30, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Voted #1 Most Innovative Company in Education and #28 Most Innovative Company by Fast Company in 2015, General Assembly is a venture-backed, post-Series D startup based in New York City. We transform thinkers into creators through education and opportunities in technology, business, and design. For individuals, we offer classes, workshops, long-form courses, and events at international campuses and online; for Fortune 500 companies, we offer training programs and partnerships that spur innovation through increased digital fluency and more effective methods of collaboration.",,General-Assembly,,,"Global School for Technology, Business, and Design. Online + Offline Ed meets E-commerce.",,,"$4,250,000","Sep  7, 2011","$10,000,000","Nov  7, 2012","$25,000,000","Sep 23, 2013",,,,GitHub_funding,,,,,,,,,,,,,,
,Real Estate,Ceregene,,,,,,,,,,"$28,000,000","Jun 22, 2007","$11,500,000","Nov 11, 2010",-,GitHub_funding,,,,,,,,,,,,,,
"Service providers (think large telecom companies, for example) pay us to help them find, secure and retain customers. We provide a set of layered services today to make this happen, despite the slowness of their systems and messiness of their data. We're leveraging the knowledge we've gained to build a highly configurable system that will reduce today's availability queries from 30 seconds to sub-second with a capacity for billions of requests per month. To fully take advantage of this knowledge, we selected a new technology stack to transform how location-specific services are bought and sold. Core development is in Go with Jenkins-based continuous… · More integration/deployment. We build into Docker containers, configured using Ansible and running in a Kubernetes-controlled elastic cloud computing environment. Sure, there are other neat technologies to list that bots would love, but we what we are really focused on is simplicity.",Clean Technology,Bridgevine,,,Transforming Marketplaces,"$2,700,000","Jan  1, 2004","$3,250,000","Dec 28, 2005","$7,100,000","Aug  1, 2007","$3,500,000","Jun  3, 2009",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Nonprofits,Auctionpay,,,,,,,,"$5,500,000","Sep 26, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,Geni,,,Building the family tree of the world. Now part of MyHeritage. ,,,"$1,500,000","Jun  1, 2006","$10,000,000","Mar  1, 2007","$5,000,000","Jan 19, 2009",,,,GitHub_funding,,,,,,,,,,,,,,
"PubNub is a secure global Data Stream Network (DSN) and easy to use API that enables our customers to connect, scale, and manage realtime applications and IoT devices. With over 70 SDKs for every platform, 250ms worldwide data transfer times, and scalability for hundreds of millions of devices, PubNub’s unique infrastructure gives you the ability to easily connect and operate world-class realtime applications and IoT devices. PubNub is headquartered in San Francisco. Visit www.pubnub.com to start a free trial today.",Bridging Online and Offline,PubNub,,,A Revolutionary Data Stream Network for Building Massively Scalable Realtime Apps ,,,"$4,500,000","Mar 21, 2012","$10,600,000","Sep 17, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Marketing Automation,Beyond-the-Rack,"$10,000,000","Oct 23, 2012",,,,,,,,"$25,000,000","Nov 26, 2013",,,Series D,GitHub_funding,,,,,,,,,,,,,,
"Built to optimize marketing. Track, analyze and optimize your digital marketing.",Marketplaces,Kissmetrics,,,"Built to optimize marketing. Track, analyze and optimize your digital marketing.","$1,000,000","May 13, 2008","$2,800,000","Jul 28, 2009","$7,000,000","Jul 18, 2013",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Ticketing,Lastline,"$2,800,000","Apr 12, 2013",Security Breach Detection Platform,,,"$900,000","Apr 11, 2013","$10,000,000","Jun 13, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Finance,Chumby-Industries,,,,,,"$5,000,000","Dec  1, 2006","$12,500,000","Mar 31, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Swipely helps restaurants &amp; bars and other businesses grow sales by connecting product, staff and customer insights to grow sales.",Fashion,Swipely,,,,"$125,000","Dec  7, 2009","$7,500,000","May  1, 2010","$12,000,000","May 21, 2013","$20,000,000","May 29, 2014",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Software,Intervolve,"$6,000,000","Feb 25, 2011",,,,,,,,"$2,000,000","Apr 25, 2006",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Consumer Lending,Clicksquared,"$9,000,000","Jan  9, 2012",,,,"$36,700,000","Sep  5, 2007","$11,000,000","Jan  1, 2009",,,,,Series D,GitHub_funding,,,,,,,,,,,,,,
"Dynamic Signal is THE LEADING EMPLOYEE ADVOCACY PLATFORM.DISTRIBUTE: Curate content from the web, your owned library, our recommendation engine, or from advocates, then distribute it to advocates for amplificationAMPLIFY: Mobile apps, web apps, and email make it simple for advocates to share on their personal channels. And because you approve it first, they know its safe to share.MEASURE: Track what content is shared and the impact it had on engagement, reach, leads and sales. Then recognize and reward your best advocates.ALL-IN-ONE PLATFORM: A complete content and advocate management system, an “OS for advocacy”",Cloud Security,Dynamic-Signal,,,,,,"$8,000,000","Feb 17, 2011","$13,300,000","Jul 16, 2012","$12,000,000","Aug 25, 2014",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,Accedian-Networks,,,,,,"$4,000,000","Mar  9, 2006","$7,540,000","Feb 14, 2008","$19,500,000","Aug  4, 2010",,,-,GitHub_funding,,,,,,,,,,,,,,
"NonProfitEasy provides a fully integrated platform that is specifically built for non-profits and more importantly, priced for non-profits under 5 million. It combines the functions of 8 different systems (Constituent Management, Donor Management, Event Management and Ticketing, Volunteer Management, Membership Management, Communications, Document Management and Auctions) into one integrated cloud platform. It combines powerful Analytic Tools for nonprofits to monitor all aspects of their org.",Nonprofits,NonProfitEasy,,,The Next Generation Constituent Management Platform for Small to Mid-Sized Non-Profits,"$400,000","Jan  1, 2011","$550,000","Sep 26, 2012","$1,000,000","Nov 30, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,CebaTech,,,,,,,,"$4,500,000","Apr 26, 2005","$4,000,000","Jul 21, 2006",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,IntegraGen,"$2,400,000","Jul 13, 2012",,,,,,"$9,400,000","Nov 17, 2005",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Fraud Detection,Zecco,,,"Zecco offered quite possibly the best value in online investing, from 2006 to 2012.","$4,000,000","Jan  1, 2006","$6,000,000","Nov 28, 2006","$25,000,000","Nov  1, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Big Data,PlumTV,"$4,400,000","Oct 13, 2012",,,,,,"$5,200,000","Sep  1, 2009",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,California-Stem-Cell,"$2,000,000","Feb  7, 2012",,,,,,Unknown,"Dec 21, 2009",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Artspace is the digital marketplace for fine art and design. Learn about and buy artworks from the best artists, galleries and museums around the world.",Curated Web,Artspace,"$1,200,000","Mar 29, 2011",,,,"$2,500,000","Jan 31, 2012","$8,500,000","Feb 20, 2013",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Software,Natrix-Separations,"$8,000,000","Jul 22, 2014",,,,"$1,700,000","Sep 26, 2005","$19,000,000","Sep  3, 2008",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,-,Decide,,,,,,"$2,500,000","Jan  1, 2010","$6,000,000","Apr 19, 2011",,,,,IPO,GitHub_funding,,,,,,,,,,,,,,
,Web Hosting,Roving-Planet,,,,,,,,,,"$6,000,000","Jan 11, 2005",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"Incorporated in February 2011 with its HQ in Berlin, Germany, EyeEm is a camera application for smartphones that let's you share & discover topics, places and events from the photos you take. The founding team around Florian Meissner, Lorenz Aschoff, Gen Sadakane, Ramzi Rizk and executive chairman Christophe Maire has received an undisclosed amount of seed funding from Passion Capital and Pan-European Venture Capital fund Wellington Partners.",Health Care,EyeEm,,,Discover the world from the photos you take.,"$1,000,000","Aug  4, 2011","$5,000,000","Jul 17, 2013","$18,000,000","Apr 24, 2015",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,OutSmart-Power-Systems,"$805,000","Oct 21, 2010",,"$2,600,000","Apr 18, 2011","$3,600,000","Oct  9, 2013","$1,500,000","Dec  5, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Crisp Engage is Crisp's advanced platform for generating rich media advertising that can run across all smart mobile and tablet devices including web and app for iOS, Android and Windows. Crisp is the most open and flexible HTML5 platform and a pioneer of IAB and MMA standards for in-app HTML5 delivery and rich media reporting.Crisp Premium Media is our premium ad network that combines our best in class ad products developed in Crisp Engage with premium publisher inventory.",App Marketing,Crisp-Media,,,"Crisp, responsive advertising",,,,,"$5,000,000","Oct  3, 2008","$6,000,000","Apr 28, 2011",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Marketplaces,Cobalt-Technologies,"$5,000,000","Oct  1, 2012",,,,,,,,"$25,000,000","Oct 20, 2008","$20,000,000","May  2, 2011",-,GitHub_funding,,,,,,,,,,,,,,
,,Boxee,,,,,,"$4,000,000","Nov 18, 2008","$6,000,000","Aug 12, 2009","$16,500,000","Mar  1, 2011",,,,GitHub_funding,,,,,,,,,,,,,,
,Open Source,Sermo,"$3,500,000","Feb 17, 2011",,,,"$3,000,000","Sep  1, 2006","$9,500,000","Jan  1, 2007","$25,000,000","Sep  1, 2007",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Games,Prudent-Energy,"$29,500,000","Oct 12, 2011",,,,,,,,"$22,000,000","Mar  2, 2010",,,-,GitHub_funding,,,,,,,,,,,,,,
Hightower is the leading commercial leasing management platform that enables brokers and owners to better conduct their end-to-end leasing workflow.,,Hightower,,,The leading commercial leasing management solution.,"$2,120,000","Dec 20, 2013","$6,500,000","Aug 21, 2014","$13,000,000","May 19, 2015",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Software,TeachScape,,,,,,,,,,"$16,000,000","Aug 13, 2009",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"Cloud Sherpas provides cloud advisory and technology services to improve customer experience for the world’s leading brands. With more than 900 people serving enterprise clients and thousands of other businesses around the world, our global team provides cloud strategy, implementation and integration support, as well as training and platform enhancements for customers across all industries. Cloud Sherpas is part of the salesforce.com Partner Program and has earned Global Strategic Cloud Alliance Partner status, a three-time Google Enterprise Partner of the Year for Google Apps and a ServiceNow Master Solutions Partner. Cloud Sherpas is headquartered in Atlanta, GA with… · More offices throughout the United States and operations in Australia, India, Japan, New Zealand, Philippines, Singapore, United Arab Emirates and the United Kingdom. For more information visit www.cloudsherpas.com.",,Cloud-Sherpas,"$700,000","Aug 22, 2011",,,,"$1,600,000","Nov  3, 2010","$20,000,000","Mar  6, 2012","$40,000,000","Dec 20, 2012",,,,GitHub_funding,,,,,,,,,,,,,,
